ID	age	sex	investigator	location	emotion	responserating	RTrating	choiceHistory	current_time	coreTrialStart
47	23	male	8	Probraum	awarelayers3__0001s_0002_Op_Gun.png	10	27.883	[(None, 0.0), (10, 27.883)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awareSave_phone.png	50	9.839	[(None, 0.0), (10, 0.003), (9, 2.274), (8, 2.354), (7, 2.441), (6, 2.525), (5, 2.604), (4, 2.691), (3, 2.755), (2, 2.841), (3, 3.373), (4, 3.44), (5, 3.524), (6, 3.596), (7, 3.689), (8, 3.773), (9, 3.84), (10, 3.923), (11, 4.005), (12, 4.09), (13, 4.173), (14, 4.24), (15, 4.323), (16, 4.354), (17, 4.404), (18, 4.439), (19, 4.473), (20, 4.503), (21, 4.539), (22, 4.573), (23, 4.624), (24, 4.639), (25, 4.689), (26, 4.722), (27, 4.754), (28, 4.789), (29, 4.839), (30, 4.854), (31, 4.889), (32, 4.94), (33, 4.972), (34, 5.004), (35, 5.039), (36, 5.072), (37, 5.123), (38, 5.424), (39, 5.524), (40, 5.589), (41, 5.69), (42, 5.754), (43, 5.841), (44, 6.24), (45, 6.324), (46, 6.404), (47, 6.473), (48, 6.554), (49, 7.323), (50, 7.404), (50, 9.839)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awarecontrolguy.png	0	14.045	[(None, 0.0), (50, 0.003), (49, 3.762), (48, 3.846), (47, 3.927), (46, 4.012), (45, 4.076), (44, 4.177), (43, 4.263), (42, 4.346), (41, 4.412), (40, 4.495), (39, 4.576), (38, 4.662), (37, 4.745), (36, 4.796), (35, 4.826), (34, 4.861), (33, 4.895), (32, 4.926), (31, 4.976), (30, 5.012), (29, 5.045), (28, 5.076), (27, 5.112), (26, 5.162), (25, 5.195), (24, 5.212), (23, 5.262), (22, 5.295), (21, 5.326), (20, 5.362), (19, 5.412), (18, 5.426), (17, 5.476), (16, 5.512), (15, 5.545), (14, 5.576), (13, 5.626), (12, 5.662), (11, 5.695), (10, 5.727), (9, 5.761), (8, 5.812), (7, 5.845), (6, 5.876), (5, 5.912), (4, 5.963), (3, 5.978), (2, 6.012), (1, 6.061), (0, 6.095), (0, 14.045)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awarelayers3__0001s_0003_Op_Phone.png	0	4.502	[(None, 0.0), (0, 0.004), (0, 4.502)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awarelayers3__0001s_0004_Op_HandBack.png	0	5.654	[(None, 0.0), (0, 0.004), (0, 5.654)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awareSave_gun.png	100	11.023	[(None, 0.0), (0, 0.003), (1, 1.323), (2, 1.407), (3, 1.487), (4, 1.573), (5, 1.637), (6, 1.738), (7, 1.806), (8, 1.873), (10, 1.887), (11, 1.906), (14, 1.922), (16, 1.937), (18, 1.973), (19, 2.023), (20, 2.107), (21, 2.137), (22, 2.172), (23, 2.206), (24, 2.237), (25, 2.287), (26, 2.322), (27, 2.356), (28, 2.387), (29, 2.422), (30, 2.456), (31, 2.506), (32, 2.523), (33, 2.573), (34, 2.606), (35, 2.637), (36, 2.673), (37, 2.723), (38, 2.737), (39, 2.787), (40, 2.823), (41, 2.856), (42, 2.907), (43, 2.923), (44, 2.973), (45, 3.006), (46, 3.037), (47, 3.072), (48, 6.438), (49, 6.523), (50, 6.623), (51, 6.688), (52, 6.773), (53, 6.856), (54, 6.938), (55, 7.007), (56, 7.088), (57, 7.173), (58, 7.273), (59, 7.338), (60, 7.423), (61, 7.455), (62, 7.488), (63, 7.522), (64, 7.556), (65, 7.588), (66, 7.638), (67, 7.673), (68, 7.706), (69, 7.737), (70, 7.773), (71, 7.823), (72, 7.837), (73, 7.872), (74, 7.923), (75, 7.957), (76, 7.987), (77, 8.023), (78, 8.073), (79, 8.107), (80, 8.137), (81, 8.173), (82, 8.206), (83, 8.237), (84, 8.273), (85, 8.306), (86, 8.356), (87, 8.387), (88, 8.423), (89, 8.456), (90, 8.487), (91, 8.537), (92, 8.573), (93, 8.587), (94, 8.637), (95, 8.673), (96, 8.707), (97, 8.737), (98, 8.787), (99, 8.823), (100, 8.857), (100, 11.023)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awareguycaro.png	50	5.321	[(None, 0.0), (100, 0.003), (99, 1.406), (98, 1.487), (97, 1.572), (96, 1.672), (95, 1.738), (94, 1.822), (93, 1.906), (92, 1.987), (91, 2.055), (90, 2.137), (89, 2.186), (88, 2.222), (87, 2.256), (86, 2.287), (85, 2.336), (84, 2.372), (83, 2.406), (82, 2.436), (81, 2.472), (80, 2.506), (79, 2.555), (78, 2.571), (77, 2.622), (76, 2.656), (75, 2.686), (74, 2.721), (73, 2.772), (72, 2.786), (71, 2.836), (70, 2.872), (69, 2.905), (68, 2.937), (67, 2.971), (66, 3.005), (65, 3.056), (64, 3.086), (63, 3.122), (62, 3.155), (61, 3.186), (60, 3.222), (59, 3.272), (58, 3.305), (57, 3.336), (56, 3.587), (55, 3.672), (54, 3.756), (53, 4.155), (52, 4.506), (51, 4.606), (50, 4.687), (50, 5.321)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awareyellow.PNG	0	10.295	[(None, 0.0), (50, 0.003), (49, 6.346), (48, 6.446), (47, 6.514), (46, 6.614), (45, 6.677), (44, 6.764), (43, 6.847), (42, 6.928), (41, 6.997), (40, 7.077), (39, 7.164), (38, 7.264), (37, 7.329), (36, 7.363), (35, 7.396), (34, 7.446), (33, 7.464), (32, 7.513), (31, 7.546), (30, 7.578), (29, 7.613), (28, 7.646), (27, 7.677), (26, 7.713), (25, 7.763), (24, 7.797), (23, 7.827), (22, 7.863), (21, 7.912), (20, 7.927), (19, 7.978), (18, 8.013), (17, 8.046), (16, 8.077), (15, 8.112), (14, 8.146), (13, 8.196), (12, 8.227), (11, 8.263), (10, 8.296), (9, 8.348), (8, 8.378), (7, 8.413), (6, 8.446), (5, 8.477), (4, 8.528), (3, 8.563), (2, 8.577), (1, 8.627), (0, 8.662), (0, 10.295)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awareblue.PNG	27	7.859	[(None, 0.0), (0, 0.004), (1, 2.859), (2, 2.946), (3, 3.029), (4, 3.109), (5, 3.196), (6, 3.259), (7, 3.36), (8, 3.409), (9, 3.445), (10, 3.478), (11, 3.509), (12, 3.559), (13, 3.594), (14, 3.629), (15, 3.659), (16, 3.695), (17, 3.745), (18, 3.778), (19, 3.795), (20, 3.845), (21, 6.66), (22, 6.728), (23, 6.81), (24, 7.128), (25, 7.209), (26, 7.279), (27, 7.379), (27, 7.859)]	16:39:08.964393	2513.031
47	23	male	8	Probraum	awareblack.PNG	50	4.33	[(None, 0.0), (27, 0.004), (28, 1.662), (29, 1.762), (30, 1.811), (31, 1.912), (32, 1.997), (33, 2.081), (34, 2.147), (35, 2.231), (36, 2.312), (37, 2.398), (38, 2.462), (39, 2.562), (40, 2.648), (41, 2.697), (42, 2.73), (43, 2.762), (44, 2.797), (45, 2.848), (46, 2.881), (47, 2.911), (48, 2.947), (49, 2.992), (50, 3.015), (51, 3.046), (50, 3.897), (50, 4.33)]	16:39:08.964393	2513.031
