Filename       Segment     Maxemg-L   Maxemg-V
P1_TIMMI_0042     1        97.00     0.0098
P1_TIMMI_0042     2       114.00     0.0228
P1_TIMMI_0042     3        91.00     0.0188
P1_TIMMI_0042     4       121.00     0.0102
P1_TIMMI_0042     5       119.00     0.0217
P1_TIMMI_0042     6        89.00     0.0053
P1_TIMMI_0042     7        86.00     0.0083
P1_TIMMI_0042     8       101.00     0.0053
P1_TIMMI_0042     9        82.00     0.0089
P1_TIMMI_0042    10       124.00     0.0114
P1_TIMMI_0042    11        75.00     0.0067
P1_TIMMI_0042    12       140.00     0.0057
P1_TIMMI_0042    13       103.00     0.0197
P1_TIMMI_0042    14       117.00     0.0063
P1_TIMMI_0042    15       117.00     0.0051
P1_TIMMI_0042    16        95.00     0.0078
P1_TIMMI_0042    17       113.00     0.0100
P1_TIMMI_0042    18        80.00     0.0077
P1_TIMMI_0042    19       143.00     0.0041
P1_TIMMI_0042    20       128.00     0.0070
P1_TIMMI_0042    21       123.00     0.0070
P1_TIMMI_0042    22       149.00     0.0040
P1_TIMMI_0042    23       144.00     0.0099
P1_TIMMI_0042    24        96.00     0.0062
P1_TIMMI_0042    25        94.00     0.0039
P1_TIMMI_0042    26       108.00     0.0100
P1_TIMMI_0042    27        31.00     0.0067
P1_TIMMI_0042    28        89.00     0.0051
P1_TIMMI_0042    29        70.00     0.0046
P1_TIMMI_0042    30        53.00     0.0044
P1_TIMMI_0042    31       142.00     0.0136
P1_TIMMI_0042    32        31.00     0.0042
P1_TIMMI_0042    33        95.00     0.0077
P1_TIMMI_0042    34        80.00     0.0091
P1_TIMMI_0042    35        99.00     0.0066
P1_TIMMI_0042    36        28.00     0.0083
