Filename       Segment     Maxemg-L   Maxemg-V
P1_TIMMI_0042     1        96.00     0.0138
P1_TIMMI_0042     2       126.00     0.0149
P1_TIMMI_0042     3       103.00     0.0139
P1_TIMMI_0042     4        78.00     0.0127
P1_TIMMI_0042     5       105.00     0.0206
P1_TIMMI_0042     6       107.00     0.0350
P1_TIMMI_0042     7       102.00     0.0225
P1_TIMMI_0042     8       104.00     0.0122
P1_TIMMI_0042     9       124.00     0.0102
P1_TIMMI_0042    10       106.00     0.0284
P1_TIMMI_0042    11       109.00     0.0200
P1_TIMMI_0042    12        20.00     0.0073
P1_TIMMI_0042    13       106.00     0.0094
P1_TIMMI_0042    14        92.00     0.0179
P1_TIMMI_0042    15       100.00     0.0107
P1_TIMMI_0042    16        91.00     0.0070
P1_TIMMI_0042    17       104.00     0.0073
P1_TIMMI_0042    18       118.00     0.0103
P1_TIMMI_0042    19       149.00     0.0081
P1_TIMMI_0042    20       110.00     0.0121
P1_TIMMI_0042    21       113.00     0.0141
P1_TIMMI_0042    22       122.00     0.0072
P1_TIMMI_0042    23       104.00     0.0081
P1_TIMMI_0042    24        33.00     0.0036
P1_TIMMI_0042    25       137.00     0.0057
P1_TIMMI_0042    26       112.00     0.0044
P1_TIMMI_0042    27        51.00     0.0045
P1_TIMMI_0042    28        89.00     0.0060
P1_TIMMI_0042    29        56.00     0.0034
P1_TIMMI_0042    30        22.00     0.0075
P1_TIMMI_0042    31       117.00     0.0097
P1_TIMMI_0042    32        52.00     0.0062
P1_TIMMI_0042    33        96.00     0.0047
P1_TIMMI_0042    34       130.00     0.0043
P1_TIMMI_0042    35        45.00     0.0053
P1_TIMMI_0042    36        97.00     0.0057
P1_TIMMI_0042    37        97.00     0.0076
