ID	age	sex	investigator	location	emotion	responserating	RTrating	choiceHistory	current_time	coreTrialStart
46	18	female	1	Probraum	awareSave_gun.png	0	19.492	[(None, 0.0), (0, 19.492)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awarecontrolguy.png	0	35.594	[(None, 0.0), (0, 35.594)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awareguycaro.png	0	3.885	[(None, 0.0), (0, 0.003), (0, 3.885)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awarelayers3__0001s_0002_Op_Gun.png	52	13.32	[(None, 0.0), (52, 13.32)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awarelayers3__0001s_0004_Op_HandBack.png	52	4.073	[(None, 0.0), (52, 0.003), (52, 4.073)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awareSave_phone.png	0	12.736	[(None, 0.0), (0, 12.736)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awarelayers3__0001s_0003_Op_Phone.png	51	8.801	[(None, 0.0), (0, 0.003), (1, 2.436), (2, 2.517), (3, 3.267), (4, 3.336), (5, 3.416), (6, 3.503), (7, 3.586), (8, 3.668), (9, 3.735), (10, 3.816), (11, 3.902), (12, 3.986), (13, 4.066), (14, 4.135), (15, 4.235), (16, 4.302), (17, 4.335), (18, 4.366), (19, 4.401), (20, 4.434), (21, 4.485), (22, 4.502), (23, 4.551), (24, 4.584), (25, 4.615), (26, 4.651), (27, 4.685), (28, 4.716), (29, 4.766), (30, 4.801), (31, 4.835), (32, 4.866), (33, 4.916), (34, 4.951), (35, 4.966), (36, 5.016), (37, 5.051), (38, 5.085), (39, 5.116), (40, 5.166), (41, 5.837), (42, 5.916), (43, 6.001), (44, 6.066), (45, 6.152), (46, 6.235), (47, 6.316), (48, 6.403), (49, 6.485), (50, 7.435), (51, 7.502), (51, 8.801)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awareyellow.PNG	0	22.928	[(None, 0.0), (51, 0.003), (50, 2.062), (49, 2.127), (48, 2.212), (47, 2.292), (46, 2.378), (45, 2.442), (44, 2.528), (43, 2.628), (42, 2.711), (41, 2.778), (40, 2.861), (39, 2.942), (38, 3.028), (37, 3.092), (36, 3.127), (35, 3.161), (34, 3.191), (33, 3.227), (32, 3.261), (31, 3.312), (30, 3.342), (29, 3.377), (28, 3.411), (27, 3.442), (26, 3.477), (25, 3.527), (24, 3.56), (23, 3.592), (22, 3.627), (21, 3.66), (20, 3.692), (19, 3.727), (18, 3.777), (17, 3.81), (16, 3.842), (15, 3.877), (14, 3.911), (13, 3.961), (12, 3.992), (11, 4.027), (10, 4.061), (9, 4.091), (8, 4.127), (7, 4.161), (6, 4.212), (5, 4.242), (4, 4.282), (3, 4.295), (2, 4.341), (1, 4.392), (0, 4.427), (1, 11.328), (2, 11.411), (3, 11.492), (4, 11.577), (7, 12.861), (6, 13.492), (5, 13.577), (4, 13.661), (3, 13.728), (2, 13.761), (1, 13.811), (0, 13.842), (0, 22.928)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awareblue.PNG	30	9.297	[(None, 0.0), (30, 9.297)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	awareblack.PNG	34	8.246	[(None, 0.0), (34, 8.246)]	15:08:16.863510	1954.968
46	18	female	1	Probraum	gespannt	91	5.682	[(None, 0.0), (91, 5.682)]	03/30/22:15:53:53.187914	4691.281
