ID	age	sex	investigator	location	emotion	responserating	RTrating	choiceHistory	current_time	coreTrialStart
45	26	female	14	Probraum	awarelayers3__0001s_0002_Op_Gun.png	12	16.295	[(None, 0.0), (12, 16.295)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awareSave_gun.png	50	14.669	[(None, 0.0), (12, 0.003), (13, 1.252), (14, 1.322), (15, 1.402), (16, 1.488), (17, 1.571), (18, 1.638), (19, 1.738), (20, 1.802), (21, 1.902), (22, 1.97), (23, 2.052), (24, 2.137), (25, 2.202), (26, 2.236), (27, 2.287), (28, 2.319), (29, 2.351), (30, 2.387), (31, 2.42), (32, 2.451), (33, 2.501), (34, 2.537), (35, 2.57), (36, 2.601), (37, 2.636), (38, 2.67), (39, 2.721), (40, 2.736), (41, 2.786), (42, 2.819), (43, 2.851), (44, 2.886), (45, 2.937), (46, 2.97), (47, 3.001), (48, 3.036), (49, 3.07), (50, 3.12), (51, 3.137), (52, 3.186), (53, 3.22), (54, 3.251), (55, 3.286), (56, 3.32), (57, 3.351), (58, 3.401), (59, 3.437), (60, 3.47), (61, 3.501), (60, 7.837), (59, 7.92), (58, 8.001), (57, 8.088), (56, 8.151), (55, 8.252), (54, 8.321), (53, 8.801), (52, 8.887), (51, 9.287), (50, 9.37), (49, 9.453), (48, 9.52), (49, 10.237), (50, 10.32), (50, 14.669)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awarelayers3__0001s_0003_Op_Phone.png	0	10.469	[(None, 0.0), (50, 0.004), (49, 1.7), (48, 1.769), (47, 1.869), (46, 1.936), (45, 2.019), (44, 2.1), (43, 2.172), (42, 2.269), (41, 2.336), (40, 2.42), (39, 2.52), (38, 2.586), (37, 2.686), (36, 2.719), (35, 2.769), (34, 2.8), (33, 2.835), (32, 2.869), (31, 2.9), (30, 2.95), (29, 2.986), (28, 3.0), (27, 3.05), (26, 3.085), (25, 3.119), (24, 3.15), (23, 3.2), (22, 3.235), (21, 3.269), (20, 3.3), (19, 3.335), (18, 3.369), (17, 3.419), (16, 3.435), (15, 3.485), (14, 3.518), (13, 3.55), (12, 3.585), (11, 3.636), (10, 3.65), (9, 3.7), (8, 3.736), (7, 3.769), (6, 3.8), (5, 3.835), (4, 3.886), (3, 3.919), (2, 3.95), (1, 3.985), (0, 4.035), (1, 7.536), (2, 7.636), (3, 7.719), (4, 7.8), (5, 7.87), (6, 7.95), (7, 8.036), (8, 8.119), (9, 8.201), (10, 8.25), (11, 8.285), (12, 8.336), (13, 8.369), (14, 8.786), (13, 8.8), (12, 8.87), (11, 8.95), (10, 9.036), (9, 9.119), (8, 9.201), (7, 9.269), (6, 9.369), (5, 9.436), (4, 9.537), (3, 9.6), (2, 9.686), (1, 9.77), (0, 9.836), (0, 10.469)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awareSave_phone.png	0	0.908	[(None, 0.0), (0, 0.003), (0, 0.908)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awarecontrolguy.png	50	5.629	[(None, 0.0), (0, 0.003), (1, 1.596), (2, 1.681), (3, 1.761), (4, 1.847), (5, 1.911), (6, 1.997), (7, 2.096), (8, 2.149), (9, 2.18), (10, 2.211), (11, 2.261), (12, 2.296), (13, 2.33), (14, 2.361), (15, 2.396), (16, 2.447), (17, 2.48), (18, 2.496), (19, 2.546), (20, 2.581), (21, 2.612), (22, 2.648), (23, 2.696), (24, 2.73), (25, 2.761), (26, 2.796), (27, 2.829), (28, 2.88), (29, 2.896), (30, 2.946), (31, 2.979), (32, 3.011), (33, 3.046), (34, 3.08), (35, 3.111), (36, 3.162), (37, 3.196), (38, 3.23), (39, 3.261), (40, 3.311), (41, 3.33), (42, 3.379), (43, 3.411), (44, 3.862), (45, 3.947), (46, 4.03), (47, 4.347), (48, 4.431), (49, 4.761), (50, 5.161), (50, 5.629)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awarelayers3__0001s_0004_Op_HandBack.png	0	6.321	[(None, 0.0), (50, 0.003), (49, 2.372), (48, 2.453), (47, 2.539), (46, 2.622), (45, 2.688), (44, 2.772), (43, 2.853), (42, 2.954), (41, 3.021), (40, 3.103), (39, 3.189), (38, 3.272), (37, 3.338), (36, 3.374), (35, 3.403), (34, 3.453), (33, 3.488), (32, 3.503), (31, 3.553), (30, 3.588), (29, 3.622), (28, 3.653), (27, 3.703), (26, 3.738), (25, 3.771), (24, 3.803), (23, 3.838), (22, 3.888), (21, 3.903), (20, 3.938), (19, 3.989), (18, 4.021), (17, 4.052), (16, 4.088), (15, 4.139), (14, 4.153), (13, 4.203), (12, 4.238), (11, 4.272), (10, 4.303), (9, 4.338), (8, 4.388), (7, 4.422), (6, 4.452), (5, 4.488), (4, 4.538), (3, 4.553), (2, 4.588), (1, 4.638), (0, 4.671), (0, 6.321)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awareguycaro.png	50	5.37	[(None, 0.0), (0, 0.003), (1, 1.051), (2, 1.137), (3, 1.237), (4, 1.32), (5, 1.387), (6, 1.47), (7, 1.551), (8, 1.637), (9, 1.651), (10, 1.686), (11, 1.736), (12, 1.77), (13, 1.8), (14, 1.836), (15, 1.886), (16, 1.92), (17, 1.951), (18, 1.986), (19, 2.019), (20, 2.051), (21, 2.086), (22, 2.119), (23, 2.17), (24, 2.201), (25, 2.236), (26, 2.27), (27, 2.301), (28, 2.351), (29, 2.387), (30, 2.4), (31, 2.451), (32, 2.487), (33, 2.519), (34, 2.55), (35, 2.601), (36, 2.636), (37, 2.67), (38, 2.701), (39, 2.736), (40, 2.77), (41, 2.82), (42, 2.851), (43, 2.886), (44, 3.387), (45, 3.47), (46, 3.751), (47, 3.837), (48, 3.92), (49, 4.487), (50, 4.57), (50, 5.37)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awareblue.PNG	50	5.891	[(None, 0.0), (50, 0.004), (50, 5.891)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awareblack.PNG	100	5.531	[(None, 0.0), (50, 0.004), (51, 1.266), (52, 1.346), (53, 1.431), (54, 1.514), (55, 1.596), (56, 1.682), (57, 1.765), (58, 1.846), (59, 1.915), (60, 1.996), (61, 2.081), (62, 2.165), (63, 2.246), (64, 2.281), (65, 2.314), (66, 2.346), (67, 2.396), (68, 2.431), (69, 2.464), (70, 2.495), (71, 2.532), (72, 2.564), (73, 2.595), (74, 2.646), (75, 2.681), (76, 2.714), (77, 2.745), (78, 2.781), (79, 2.831), (80, 2.846), (81, 2.88), (82, 2.931), (83, 2.965), (84, 2.995), (85, 3.031), (86, 3.081), (87, 3.115), (88, 3.145), (89, 3.181), (90, 3.214), (91, 3.264), (92, 3.282), (93, 3.314), (94, 3.365), (95, 3.395), (96, 3.431), (97, 3.464), (98, 3.496), (99, 3.545), (100, 3.582), (100, 5.531)]	11:09:31.102795	2269.765
45	26	female	14	Probraum	awareyellow.PNG	0	6.729	[(None, 0.0), (100, 0.003), (99, 0.929), (98, 1.015), (97, 1.1), (96, 1.179), (95, 1.265), (94, 1.348), (93, 1.429), (92, 1.515), (91, 1.579), (90, 1.614), (89, 1.648), (88, 1.679), (87, 1.714), (86, 1.748), (85, 1.798), (84, 1.829), (83, 1.864), (82, 1.897), (81, 1.929), (80, 1.979), (79, 2.014), (78, 2.047), (77, 2.079), (76, 2.114), (75, 2.147), (74, 2.179), (73, 2.229), (72, 2.265), (71, 2.297), (70, 2.329), (69, 2.365), (68, 2.415), (67, 2.45), (66, 2.466), (65, 2.514), (64, 2.548), (63, 2.579), (62, 2.614), (61, 2.664), (60, 2.698), (59, 2.729), (58, 2.764), (57, 2.797), (56, 2.848), (55, 2.864), (54, 2.916), (53, 2.949), (52, 2.978), (51, 3.014), (50, 3.066), (49, 3.079), (48, 3.129), (47, 3.165), (46, 3.197), (45, 3.229), (44, 3.264), (43, 3.315), (42, 3.348), (41, 3.379), (40, 3.414), (39, 3.448), (38, 3.479), (37, 3.529), (36, 3.548), (35, 3.598), (34, 3.629), (33, 3.664), (32, 3.697), (31, 3.729), (30, 3.779), (29, 3.814), (28, 3.847), (27, 3.879), (26, 3.915), (25, 3.947), (24, 3.979), (23, 4.029), (22, 4.065), (21, 4.098), (20, 4.129), (19, 4.164), (18, 4.215), (17, 4.248), (16, 4.264), (15, 4.314), (14, 4.348), (13, 4.379), (12, 4.414), (11, 4.465), (10, 4.498), (9, 4.529), (8, 4.579), (7, 4.597), (6, 4.647), (5, 4.679), (4, 4.715), (3, 4.747), (2, 4.779), (1, 4.815), (0, 4.865), (0, 6.729)]	11:09:31.102795	2269.765
