ID	age	sex	investigator	location	emotion	responserating	RTrating	choiceHistory	current_time	coreTrialStart
43	24	female	14	Probraum	awarelayers3__0001s_0002_Op_Gun.png	100	10.939	[(None, 0.0), (100, 10.939)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awareSave_gun.png	0	7.201	[(None, 0.0), (100, 0.004), (99, 0.988), (98, 1.088), (97, 1.152), (96, 1.252), (95, 1.321), (94, 1.402), (93, 1.488), (92, 1.571), (91, 1.636), (90, 1.737), (89, 1.801), (88, 1.887), (87, 1.919), (86, 1.951), (85, 1.986), (84, 2.037), (83, 2.069), (82, 2.101), (81, 2.136), (80, 2.187), (79, 2.201), (78, 2.236), (77, 2.287), (76, 2.321), (75, 2.35), (74, 2.386), (73, 2.436), (72, 2.47), (71, 2.501), (70, 2.536), (69, 2.57), (68, 2.601), (67, 2.651), (66, 2.67), (65, 2.72), (64, 2.751), (63, 2.786), (62, 2.82), (61, 2.851), (60, 2.886), (59, 2.937), (58, 2.969), (57, 3.001), (56, 3.037), (55, 3.087), (54, 3.119), (53, 3.151), (52, 3.186), (51, 3.22), (50, 3.251), (49, 3.286), (48, 3.32), (47, 3.37), (46, 3.401), (45, 3.436), (44, 3.47), (43, 3.501), (42, 3.551), (41, 3.586), (40, 3.619), (39, 3.651), (38, 3.686), (37, 3.719), (36, 3.751), (35, 3.801), (34, 3.836), (33, 3.869), (32, 3.901), (31, 3.936), (30, 3.987), (29, 4.019), (28, 4.036), (27, 4.087), (26, 4.12), (25, 4.151), (24, 4.186), (23, 4.237), (22, 4.27), (21, 4.301), (20, 4.336), (19, 4.378), (18, 4.404), (17, 4.436), (16, 4.486), (15, 4.52), (14, 4.551), (13, 4.586), (12, 4.619), (11, 4.651), (10, 4.686), (9, 4.737), (8, 4.769), (7, 4.801), (6, 4.836), (5, 4.887), (4, 4.919), (3, 4.95), (2, 4.986), (1, 5.019), (0, 5.051), (0, 7.201)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awarelayers3__0001s_0004_Op_HandBack.png	50	6.604	[(None, 0.0), (0, 0.003), (1, 2.868), (2, 2.954), (3, 3.038), (4, 3.118), (5, 3.204), (6, 3.268), (7, 3.368), (8, 3.437), (9, 3.468), (10, 3.504), (11, 3.554), (12, 3.587), (13, 3.618), (14, 3.654), (15, 3.705), (16, 3.718), (17, 3.768), (18, 3.803), (19, 3.837), (20, 3.868), (21, 3.903), (22, 3.937), (23, 3.988), (24, 4.018), (25, 4.053), (26, 4.087), (27, 4.12), (28, 4.154), (29, 4.203), (30, 4.236), (31, 4.268), (32, 4.303), (33, 4.337), (34, 4.368), (35, 4.403), (36, 4.454), (37, 4.486), (38, 4.518), (39, 4.554), (40, 4.587), (41, 4.637), (42, 4.654), (43, 4.704), (44, 4.737), (45, 4.768), (46, 4.803), (47, 4.837), (48, 5.304), (49, 5.387), (50, 6.004), (50, 6.604)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awarelayers3__0001s_0003_Op_Phone.png	50	7.185	[(None, 0.0), (50, 0.003), (49, 2.756), (48, 2.836), (47, 2.921), (46, 3.005), (45, 3.071), (44, 3.172), (43, 3.255), (42, 3.322), (41, 3.405), (40, 3.772), (41, 3.786), (42, 3.886), (43, 3.955), (44, 4.036), (45, 4.122), (46, 4.205), (47, 4.271), (48, 4.786), (49, 4.871), (50, 6.155), (50, 7.185)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awareSave_phone.png	0	4.416	[(None, 0.0), (50, 0.004), (49, 0.936), (48, 1.036), (47, 1.102), (46, 1.204), (45, 1.266), (44, 1.353), (43, 1.436), (42, 1.517), (41, 1.586), (40, 1.667), (39, 1.752), (38, 1.835), (37, 1.916), (36, 1.966), (35, 2.002), (34, 2.052), (33, 2.066), (32, 2.102), (31, 2.152), (30, 2.187), (29, 2.217), (28, 2.251), (27, 2.302), (26, 2.335), (25, 2.366), (24, 2.402), (23, 2.435), (22, 2.466), (21, 2.502), (20, 2.535), (19, 2.585), (18, 2.616), (17, 2.651), (16, 2.685), (15, 2.716), (14, 2.766), (13, 2.802), (12, 2.835), (11, 2.866), (10, 2.902), (9, 2.935), (8, 2.985), (7, 3.016), (6, 3.052), (5, 3.085), (4, 3.136), (3, 3.152), (2, 3.201), (1, 3.235), (0, 3.266), (0, 4.416)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awarecontrolguy.png	0	3.723	[(None, 0.0), (0, 0.004), (0, 3.723)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awareguycaro.png	0	2.754	[(None, 0.0), (0, 0.004), (0, 2.754)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awareblue.PNG	100	8.276	[(None, 0.0), (0, 0.003), (1, 1.71), (2, 1.791), (3, 1.877), (4, 1.961), (5, 2.026), (6, 2.126), (7, 2.191), (8, 2.277), (9, 2.291), (10, 2.341), (11, 2.377), (12, 2.427), (13, 2.441), (14, 2.491), (15, 2.526), (16, 2.56), (17, 2.591), (18, 2.626), (19, 2.676), (20, 2.691), (21, 2.741), (22, 2.776), (23, 2.81), (24, 2.841), (25, 2.891), (26, 2.91), (27, 2.96), (28, 2.991), (29, 3.026), (30, 3.059), (31, 3.111), (32, 3.126), (33, 3.176), (34, 3.209), (35, 3.241), (36, 3.276), (37, 3.327), (38, 3.341), (39, 3.391), (40, 3.426), (41, 3.46), (42, 3.511), (43, 3.541), (44, 3.576), (45, 3.61), (46, 3.641), (47, 3.676), (48, 3.71), (49, 3.76), (50, 3.791), (51, 3.826), (52, 3.86), (53, 3.891), (54, 3.941), (55, 3.96), (56, 3.991), (57, 4.041), (56, 4.06), (44, 4.076), (27, 4.091), (19, 4.11), (20, 4.16), (21, 4.191), (22, 4.226), (23, 4.26), (24, 4.31), (25, 4.341), (26, 4.376), (27, 4.41), (28, 4.441), (29, 4.476), (30, 4.51), (31, 4.56), (32, 4.591), (33, 4.626), (34, 4.66), (35, 4.691), (36, 4.727), (37, 4.776), (38, 4.791), (39, 4.841), (40, 4.876), (41, 4.91), (42, 4.961), (43, 4.976), (44, 5.026), (45, 5.06), (46, 5.091), (47, 5.126), (48, 5.16), (49, 5.191), (50, 5.241), (51, 5.277), (52, 5.309), (53, 5.341), (54, 5.377), (55, 5.427), (56, 5.441), (57, 5.491), (58, 5.527), (59, 5.56), (60, 5.591), (61, 5.626), (62, 5.677), (63, 5.71), (64, 5.741), (65, 5.776), (66, 5.826), (67, 5.841), (68, 5.876), (69, 5.927), (70, 5.96), (71, 5.991), (72, 6.026), (73, 6.076), (74, 6.113), (75, 6.141), (76, 6.176), (77, 6.209), (78, 6.26), (79, 6.277), (80, 6.327), (81, 6.36), (82, 6.391), (83, 6.426), (84, 6.46), (85, 6.491), (86, 6.541), (87, 6.577), (88, 6.61), (89, 6.641), (90, 6.676), (91, 6.727), (92, 6.76), (93, 6.791), (94, 6.826), (95, 6.86), (96, 6.876), (97, 6.926), (98, 6.941), (99, 6.976), (100, 7.027), (100, 8.276)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awareblack.PNG	50	13.615	[(None, 0.0), (100, 0.003), (99, 1.349), (98, 1.43), (97, 1.516), (96, 1.616), (95, 1.665), (94, 1.766), (93, 1.849), (92, 1.93), (91, 1.999), (90, 2.08), (89, 2.13), (88, 2.165), (87, 2.199), (86, 2.23), (85, 2.265), (84, 2.299), (83, 2.349), (82, 2.38), (81, 2.415), (80, 2.449), (79, 2.48), (78, 2.515), (77, 2.565), (76, 2.599), (75, 2.63), (74, 2.665), (73, 2.699), (72, 2.73), (71, 2.791), (70, 2.802), (69, 2.848), (68, 2.88), (67, 2.915), (66, 2.948), (65, 2.999), (64, 3.03), (63, 3.066), (62, 3.098), (61, 3.149), (60, 3.166), (59, 3.215), (58, 3.43), (57, 3.48), (56, 3.566), (55, 3.649), (54, 3.749), (53, 4.13), (52, 4.215), (51, 4.3), (50, 4.716), (49, 4.78), (50, 6.0), (51, 6.065), (50, 6.83), (49, 6.899), (50, 8.03), (51, 8.08), (50, 8.83), (49, 8.916), (48, 9.869), (49, 10.667), (50, 12.23), (50, 13.615)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	awareyellow.PNG	0	5.154	[(None, 0.0), (50, 0.003), (49, 0.9), (48, 0.981), (47, 1.066), (46, 1.166), (45, 1.231), (44, 1.316), (43, 1.399), (42, 1.481), (41, 1.549), (40, 1.63), (39, 1.716), (38, 1.816), (37, 1.88), (36, 1.93), (35, 1.966), (34, 1.999), (33, 2.03), (32, 2.066), (31, 2.127), (30, 2.135), (29, 2.181), (28, 2.215), (27, 2.249), (26, 2.28), (25, 2.33), (24, 2.366), (23, 2.38), (22, 2.43), (21, 2.466), (20, 2.5), (19, 2.53), (18, 2.58), (17, 2.616), (16, 2.65), (15, 2.68), (14, 2.716), (13, 2.766), (12, 2.78), (11, 2.815), (10, 2.866), (9, 2.899), (8, 2.93), (7, 2.966), (6, 3.016), (5, 3.049), (4, 3.08), (3, 3.118), (2, 3.154), (1, 3.18), (0, 3.215), (0, 5.154)]	11:51:11.826220	3206.656
43	24	female	14	Probraum	überrascht	60	5.499	[(None, 0.0), (60, 5.499)]	03/24/22:12:30:38.059237	5572.89
